t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t52,t53,noTicks
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,0,0,60,69,0,41,0,0,36,0,0,81,0,0,54
0,0,0,60,69,0,41,0,0,36,0,0,81,0,0,23
0,0,0,60,69,0,0,0,0,36,0,0,81,0,0,29
0,0,0,0,69,0,0,0,0,36,0,0,81,0,0,9
0,0,0,0,0,0,0,0,0,36,0,0,81,0,0,5
0,0,0,0,0,0,48,0,0,36,0,0,81,0,0,59
0,0,0,0,0,0,0,0,0,36,0,0,81,0,0,13
0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,0,65,60,69,40,0,0,0,0,0,92
0,0,0,0,0,0,65,60,69,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
72,0,0,60,69,0,65,60,69,40,0,0,0,0,0,57
0,0,0,60,69,0,65,60,69,40,0,0,0,0,0,9
0,0,0,60,69,0,65,60,69,0,0,0,0,0,0,81
0,0,0,0,69,0,65,60,69,0,0,0,0,0,0,5
0,0,0,0,0,0,65,60,69,0,0,0,0,0,0,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
72,0,0,60,69,0,41,0,0,36,0,0,81,0,0,18
0,0,0,60,69,0,41,0,0,36,0,0,81,0,0,53
0,0,0,60,69,0,0,0,0,36,0,0,81,0,0,9
72,0,0,60,69,0,0,0,0,36,0,0,81,0,0,28
0,0,0,60,69,0,0,0,0,36,0,0,81,0,0,12
0,0,0,60,69,0,48,0,0,36,0,0,81,0,0,35
0,0,0,0,69,0,48,0,0,36,0,0,81,0,0,5
72,0,0,0,69,0,48,0,0,36,0,0,81,0,0,18
72,0,0,0,69,0,0,0,0,36,0,0,81,0,0,12
72,0,0,0,0,0,0,0,0,36,0,0,81,0,0,2
72,0,0,0,0,0,0,0,0,36,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
71,0,0,59,68,0,65,60,69,40,0,0,0,0,0,22
0,0,0,59,68,0,65,60,69,40,0,0,0,0,0,58
71,0,0,59,68,0,65,60,69,40,0,0,0,0,0,33
71,0,0,59,68,0,65,60,69,0,0,0,0,0,0,7
71,0,0,59,68,0,65,60,69,40,0,0,0,0,0,3
0,0,0,59,68,0,65,60,69,40,0,0,0,0,0,37
71,0,0,59,68,0,65,60,69,40,0,0,0,0,0,30
0,0,0,59,68,0,65,60,69,40,0,0,0,0,0,2
0,0,0,59,68,0,0,0,0,40,0,0,0,0,0,41
0,0,0,59,68,0,0,0,0,0,0,0,0,0,0,7
72,0,0,59,68,0,65,60,69,40,0,0,0,0,0,25
0,0,0,59,68,0,65,60,69,40,0,0,0,0,0,39
0,0,0,59,68,0,65,60,69,0,0,0,0,0,0,26
72,0,0,59,68,0,65,60,69,0,0,0,0,0,0,28
0,0,0,59,68,0,65,60,69,0,0,0,0,0,0,2
0,0,0,60,69,0,65,60,69,0,0,0,0,0,0,56
0,0,0,0,69,0,65,60,69,0,0,0,0,0,0,1
0,0,0,0,0,0,65,60,69,0,0,0,0,0,0,3
72,0,0,0,0,0,65,60,69,0,0,0,0,0,0,12
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
74,0,0,62,70,0,0,0,0,36,0,0,81,0,0,64
0,0,0,62,70,0,0,0,0,36,0,0,81,0,0,56
74,0,0,62,70,0,0,0,0,36,0,0,81,0,0,46
0,0,0,62,70,0,0,0,0,36,0,0,81,0,0,14
74,0,0,62,70,0,0,0,0,36,0,0,81,0,0,12
74,0,0,62,70,0,0,0,0,36,0,0,0,0,0,33
74,0,0,62,70,0,0,0,0,0,0,0,0,0,0,1
0,0,0,62,70,0,0,0,0,0,0,0,0,0,0,14
0,0,0,62,70,0,65,60,69,40,0,0,0,0,0,30
74,0,0,62,70,0,65,60,69,40,0,0,0,0,0,39
0,0,0,62,70,0,65,60,69,40,0,0,0,0,0,21
74,0,0,62,70,0,65,60,69,40,0,0,0,0,0,2
74,0,0,62,70,0,65,60,69,0,0,0,0,0,0,38
0,0,0,0,70,0,65,60,69,0,0,0,0,0,0,30
0,0,0,0,0,0,65,60,69,0,0,0,0,0,0,20
74,0,0,0,0,0,65,60,69,0,0,0,0,0,0,12
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
72,0,0,60,69,0,65,60,69,40,0,0,0,0,0,42
0,0,0,60,69,0,65,60,69,40,0,0,0,0,0,24
0,0,0,60,69,0,65,60,69,0,0,0,0,0,0,14
72,0,0,60,69,0,65,60,69,0,0,0,0,0,0,38
0,0,0,60,69,0,65,60,69,0,0,0,0,0,0,7
0,0,0,60,0,0,65,60,69,0,0,0,0,0,0,17
0,0,0,0,0,0,65,60,69,0,0,0,0,0,0,18
72,0,0,0,0,0,65,60,69,0,0,0,0,0,0,32
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
69,0,0,65,57,0,0,0,0,40,36,0,81,0,0,24
0,0,0,65,57,0,0,0,0,40,36,0,81,0,0,56
69,0,0,65,57,0,0,0,0,40,36,0,81,0,0,29
0,0,0,65,57,0,0,0,0,40,36,0,81,0,0,51
69,0,0,65,57,0,0,0,0,40,36,0,81,0,0,22
0,0,0,65,57,0,0,0,0,40,36,0,81,0,0,10
0,0,0,65,57,0,0,0,0,40,36,0,0,0,0,33
0,0,0,65,57,0,0,0,0,40,0,0,0,0,0,15
69,0,0,65,57,0,65,60,69,40,0,0,0,0,0,32
0,0,0,65,57,0,65,60,69,40,0,0,0,0,0,28
69,0,0,65,57,0,65,60,69,40,0,0,0,0,0,33
0,0,0,65,57,0,65,60,69,40,0,0,0,0,0,57
69,0,0,65,57,0,65,60,69,40,0,0,0,0,0,25
0,0,0,65,57,0,65,60,69,40,0,0,0,0,0,17
0,0,0,65,57,0,0,0,0,40,0,0,0,0,0,18
69,0,0,65,57,0,0,0,0,40,0,0,0,0,0,13
69,0,0,65,57,0,0,0,0,0,0,0,0,0,0,15
69,0,0,65,57,0,0,0,0,40,0,0,0,0,0,2
69,0,0,65,57,0,65,60,69,40,0,0,0,0,0,8
0,0,0,65,57,0,65,60,69,40,0,0,0,0,0,33
0,0,0,65,0,0,65,60,69,40,0,0,0,0,0,29
0,0,0,0,0,0,65,60,69,40,0,0,0,0,0,122
0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
60,0,0,57,60,0,41,0,0,36,0,0,81,0,0,12
0,0,0,57,60,0,41,0,0,36,0,0,81,0,0,48
60,0,0,57,60,0,41,0,0,36,0,0,81,0,0,37
0,0,0,57,60,0,41,0,0,36,0,0,81,0,0,10
0,0,0,57,60,0,41,0,0,36,0,0,0,0,0,26
0,0,0,0,60,0,41,0,0,36,0,0,0,0,0,17
60,0,0,0,60,0,41,0,0,36,0,0,0,0,0,1
60,0,0,0,0,0,41,0,0,36,0,0,0,0,0,18
0,0,0,0,0,0,41,0,0,36,0,0,0,0,0,41
60,0,0,0,0,0,41,0,0,36,0,0,0,0,0,15
60,0,0,0,0,0,41,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,41,65,60,40,0,0,0,0,0,60
60,0,0,0,0,0,41,65,60,40,0,0,0,0,0,26
0,0,0,0,0,0,41,65,60,40,0,0,0,0,0,6
0,0,0,0,0,0,41,65,60,0,0,0,0,0,0,58
60,0,0,0,0,0,41,65,60,0,0,0,0,0,0,23
0,0,0,0,0,0,41,65,60,0,0,0,0,0,0,19
0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,48
65,0,0,65,57,0,41,65,60,40,0,0,0,0,0,23
0,0,0,65,57,0,41,65,60,40,0,0,0,0,0,43
0,0,0,65,57,0,41,65,60,0,0,0,0,0,0,14
65,0,0,65,57,0,41,65,60,0,0,0,0,0,0,16
65,0,0,65,57,0,0,65,60,0,0,0,0,0,0,11
65,0,0,65,0,0,0,65,60,0,0,0,0,0,0,1
65,0,0,0,0,0,0,65,60,0,0,0,0,0,0,11
0,0,0,0,0,0,0,65,60,0,0,0,0,0,0,41
65,0,0,0,0,0,0,65,60,0,0,0,0,0,0,24
0,0,0,0,0,0,0,65,60,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
67,0,0,58,67,0,45,0,0,36,0,0,81,0,0,16
0,0,0,58,67,0,45,0,0,36,0,0,81,0,0,44
67,0,0,58,67,0,45,0,0,36,0,0,81,0,0,37
0,0,0,58,67,0,45,0,0,36,0,0,81,0,0,53
67,0,0,58,67,0,45,0,0,36,0,0,81,0,0,27
0,0,0,58,67,0,45,0,0,36,0,0,81,0,0,33
67,0,0,58,67,0,45,0,0,36,0,0,81,0,0,15
67,0,0,58,67,0,45,0,0,0,0,0,81,0,0,15
67,0,0,58,67,0,45,65,60,40,0,0,0,0,0,1
0,0,0,58,67,0,45,65,60,40,0,0,0,0,0,15
0,0,0,0,67,0,45,65,60,40,0,0,0,0,0,9
0,0,0,0,0,0,45,65,60,40,0,0,0,0,0,35
67,0,0,0,0,0,45,65,60,40,0,0,0,0,0,39
0,0,0,0,0,0,45,65,60,40,0,0,0,0,0,14
0,0,0,0,0,0,45,65,60,0,0,0,0,0,0,7
67,0,0,0,0,0,45,65,60,40,0,0,0,0,0,24
67,0,0,0,0,0,0,65,60,40,0,0,0,0,0,22
0,0,0,0,0,0,0,65,60,40,0,0,0,0,0,26
0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
69,0,0,60,69,0,65,44,69,40,0,0,0,0,0,26
0,0,0,60,69,0,65,44,69,40,0,0,0,0,0,34
69,0,0,60,69,0,65,44,69,40,0,0,0,0,0,4
69,0,0,60,69,0,65,44,69,0,0,0,0,0,0,40
0,0,0,60,69,0,65,44,69,0,0,0,0,0,0,3
0,0,0,60,0,0,65,44,69,0,0,0,0,0,0,29
0,0,0,0,0,0,65,44,69,0,0,0,0,0,0,14
69,0,0,0,0,0,65,44,69,0,0,0,0,0,0,39
0,0,0,0,0,0,65,44,69,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
70,0,0,64,70,0,43,0,0,36,0,0,81,0,0,18
0,0,0,64,70,0,43,0,0,36,0,0,81,0,0,62
70,0,0,64,70,0,43,0,0,36,0,0,81,0,0,10
70,0,0,64,70,0,0,0,0,36,0,0,81,0,0,27
0,0,0,64,70,0,0,0,0,36,0,0,81,0,0,3
0,0,0,64,70,0,48,0,0,36,0,0,81,0,0,16
0,0,0,64,70,0,48,0,0,36,0,0,0,0,0,24
70,0,0,64,70,0,48,0,0,36,0,0,0,0,0,13
70,0,0,64,70,0,0,0,0,36,0,0,0,0,0,18
0,0,0,64,70,0,0,0,0,36,0,0,0,0,0,34
0,0,0,64,70,0,0,0,0,0,0,0,0,0,0,15
70,0,0,64,70,0,64,60,0,40,0,0,0,0,0,27
70,0,0,64,70,0,64,0,0,40,0,0,0,0,0,6
0,0,0,64,70,0,64,0,0,40,0,0,0,0,0,21
0,0,0,64,70,0,0,0,0,40,0,0,0,0,0,26
70,0,0,64,70,0,0,0,0,40,0,0,0,0,0,12
70,0,0,64,70,0,0,0,0,0,0,0,0,0,0,24
0,0,0,64,70,0,0,0,0,0,0,0,0,0,0,4
0,0,0,64,70,0,65,62,0,0,0,0,0,0,0,33
0,0,0,64,70,0,65,0,0,0,0,0,0,0,0,7
70,0,0,64,70,0,65,0,0,0,0,0,0,0,0,16
70,0,0,64,70,0,0,0,0,0,0,0,0,0,0,25
0,0,0,64,70,0,0,0,0,0,0,0,0,0,0,39
70,0,0,64,70,0,66,63,0,40,0,0,0,0,0,49
0,0,0,64,70,0,66,63,0,40,0,0,0,0,0,13
0,0,0,64,70,0,0,63,0,40,0,0,0,0,0,4
0,0,0,64,70,0,0,63,0,0,0,0,0,0,0,1
0,0,0,64,70,0,0,0,0,0,0,0,0,0,0,53
0,0,0,64,70,0,69,0,0,0,0,0,0,0,0,66
0,0,0,64,70,0,0,0,0,0,0,0,0,0,0,54
70,0,0,64,70,0,64,67,0,40,36,0,81,0,0,27
0,0,0,64,70,0,64,67,0,40,36,0,81,0,0,33
0,0,0,64,70,0,64,67,48,40,36,0,81,0,0,19
0,0,0,64,70,0,0,67,48,40,36,0,81,0,0,1
70,0,0,64,70,0,0,0,48,40,36,0,81,0,0,25
