t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t52,t53,noTicks
0,0,0,70,62,0,50,72,66,40,0,0,0,0,0,35
70,62,0,70,62,0,50,72,66,40,0,0,0,0,0,24
70,0,0,70,62,0,50,72,66,40,0,0,0,0,0,6
0,0,0,70,62,0,50,72,66,40,0,0,0,0,0,7
0,0,0,70,0,0,50,72,66,40,0,0,0,0,0,16
0,0,0,70,0,0,50,72,66,0,0,0,0,0,0,7
62,70,0,70,0,0,50,72,66,40,0,0,0,0,0,4
62,70,0,0,0,0,50,72,66,40,0,0,0,0,0,42
0,70,0,0,0,0,50,72,66,40,0,0,0,0,0,4
0,0,0,0,0,0,50,72,66,40,0,0,0,0,0,22
0,0,0,0,0,0,50,0,0,40,0,0,0,0,0,41
0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,7
66,69,0,66,60,69,50,72,66,40,0,0,0,0,0,64
66,69,0,66,60,69,50,72,66,0,0,0,0,0,0,18
66,69,0,66,0,69,50,72,66,0,0,0,0,0,0,1
0,69,0,66,0,0,50,72,66,0,0,0,0,0,0,13
0,69,0,0,0,0,50,72,66,0,0,0,0,0,0,26
0,0,0,0,0,0,50,72,66,0,0,0,0,0,0,38
0,0,0,0,0,0,0,72,66,0,0,0,0,0,0,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
0,0,0,70,67,62,43,0,0,36,0,0,81,0,0,60
67,0,0,70,67,62,43,0,0,36,0,0,81,0,0,22
67,0,0,70,67,62,43,0,0,36,0,0,0,0,0,4
0,0,0,70,67,62,43,0,0,36,0,0,0,0,0,34
67,0,0,70,67,62,43,58,0,36,0,0,0,0,0,20
0,0,0,70,67,62,43,58,0,36,0,0,0,0,0,40
67,0,0,70,67,62,43,58,0,36,0,0,0,0,0,25
67,0,0,70,67,62,43,0,0,36,0,0,0,0,0,2
0,0,0,70,67,62,43,0,0,36,0,0,0,0,0,18
0,0,0,70,67,62,43,0,0,0,0,0,0,0,0,15
0,0,0,70,67,62,43,67,0,40,0,0,0,0,0,60
67,0,0,70,67,62,43,67,0,40,0,0,0,0,0,24
0,0,0,70,67,62,43,67,0,40,0,0,0,0,0,8
0,0,0,70,67,62,43,67,0,0,0,0,0,0,0,3
0,0,0,70,67,62,43,0,0,0,0,0,0,0,0,25
67,0,0,70,67,62,43,62,0,0,0,0,0,0,0,39
0,0,0,70,67,62,43,62,0,0,0,0,0,0,0,21
67,0,0,70,67,62,43,62,0,0,0,0,0,0,0,11
67,0,0,70,67,62,0,62,0,0,0,0,0,0,0,12
67,0,0,70,67,62,0,0,0,0,0,0,0,0,0,3
0,0,0,70,67,62,0,0,0,0,0,0,0,0,0,34
0,0,0,70,67,62,50,69,0,40,0,0,0,0,0,60
67,0,0,70,67,62,50,69,0,40,0,0,0,0,0,6
67,0,0,70,67,62,50,69,0,0,0,0,0,0,0,17
67,0,0,70,67,62,50,0,0,0,0,0,0,0,0,8
0,0,0,70,67,62,50,0,0,0,0,0,0,0,0,29
67,0,0,70,67,62,50,62,0,0,0,0,0,0,0,5
67,0,0,70,67,62,0,62,0,0,0,0,0,0,0,32
0,0,0,70,67,62,0,62,0,0,0,0,0,0,0,22
0,0,0,70,67,62,0,0,0,0,0,0,0,0,0,27
0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
67,0,0,0,0,0,62,43,67,40,36,0,81,0,0,20
67,0,0,0,0,0,0,43,67,40,36,0,81,0,0,29
0,0,0,0,0,0,0,43,67,40,36,0,81,0,0,15
0,0,0,0,0,0,0,43,0,40,36,0,81,0,0,17
0,0,0,0,0,0,0,43,0,40,36,0,0,0,0,39
0,0,0,0,0,0,67,43,70,40,36,0,0,0,0,54
0,0,0,0,0,0,0,43,0,40,36,0,0,0,0,51
0,0,0,0,0,0,0,43,0,40,0,0,0,0,0,15
67,0,0,67,70,0,67,43,70,40,0,0,0,0,0,21
67,0,0,0,70,0,67,43,70,40,0,0,0,0,0,2
67,0,0,0,70,0,0,43,70,40,0,0,0,0,0,8
67,0,0,0,0,0,0,43,70,40,0,0,0,0,0,24
67,0,0,0,0,0,0,43,0,40,0,0,0,0,0,2
0,0,0,0,0,0,0,43,0,40,0,0,0,0,0,63
0,0,0,0,0,0,67,43,70,40,0,0,0,0,0,28
0,0,0,0,0,0,0,43,70,40,0,0,0,0,0,25
0,0,0,0,0,0,0,43,0,40,0,0,0,0,0,50
0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,15
0,0,0,0,0,0,0,43,0,40,0,0,0,0,0,2
69,0,0,72,69,0,67,43,70,40,0,0,0,0,0,22
69,0,0,72,0,0,67,43,70,40,0,0,0,0,0,1
69,0,0,72,0,0,0,43,70,40,0,0,0,0,0,1
69,0,0,0,0,0,0,43,70,40,0,0,0,0,0,24
69,0,0,0,0,0,0,43,0,40,0,0,0,0,0,14
0,0,0,0,0,0,0,43,0,40,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,160
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
74,70,0,74,70,0,46,0,0,36,0,0,81,0,0,15
74,0,0,74,70,0,46,0,0,36,0,0,81,0,0,5
0,0,0,74,70,0,46,0,0,36,0,0,81,0,0,40
74,70,0,74,70,0,46,0,0,36,0,0,81,0,0,20
74,0,0,74,70,0,46,0,0,36,0,0,81,0,0,2
0,0,0,74,70,0,46,0,0,36,0,0,81,0,0,30
0,0,0,74,70,0,46,0,0,36,0,0,0,0,0,8
74,70,0,74,70,0,46,0,0,36,0,0,0,0,0,26
74,70,0,0,70,0,46,0,0,36,0,0,0,0,0,9
74,0,0,0,70,0,46,0,0,36,0,0,0,0,0,10
74,0,0,0,0,0,46,0,0,36,0,0,0,0,0,2
0,0,0,0,0,0,46,0,0,36,0,0,0,0,0,58
0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,15
74,69,0,72,69,0,46,65,74,40,0,0,0,0,0,4
74,69,0,72,69,0,0,65,74,40,0,0,0,0,0,48
74,69,0,72,69,0,0,0,74,40,0,0,0,0,0,2
74,69,0,72,69,0,0,0,0,40,0,0,0,0,0,7
74,69,0,72,0,0,0,0,0,40,0,0,0,0,0,12
74,69,0,0,0,0,0,0,0,40,0,0,0,0,0,19
74,69,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
74,67,0,0,0,0,65,74,70,40,0,0,0,0,0,66
74,67,0,0,0,0,65,74,70,0,0,0,0,0,0,37
0,67,0,0,0,0,65,74,70,0,0,0,0,0,0,15
0,0,0,0,0,0,65,74,70,0,0,0,0,0,0,2
0,0,0,67,70,0,65,74,70,0,0,0,0,0,0,33
